consumption_by_source,residential_total_final_consumption,year,Units,commercial_and_public_services_total_final,iso_alpha_3
oil_products,55934.0,2000, TJ,229.0,NGA
solid_biomass,544909.0,2000, TJ,58804.0,NGA
Heat,1396.0,2000, TJ,739.0,MKD
coal,148.0,2000, TJ,40.0,MKD
electricity,9550.0,2000, TJ,105.0,MKD
electricity,9550.0,2000, TJ,3391.0,MKD
electricity,,2000, TJ,105.0,MKD
electricity,,2000, TJ,3391.0,MKD
natural_gas,,2000, TJ,,MKD
oil_products,1386.0,2000, TJ,1685.0,MKD
solid_biomass,7616.0,2000, TJ,,MKD
Heat,854.0,2000, TJ,3674.0,NOR
coal,112.0,2000, TJ,,NOR
electricity,124707.0,2000, TJ,74123.0,NOR
natural_gas,4.0,2000, TJ,45.0,NOR
oil_products,10353.0,2000, TJ,9969.0,NOR
solid_biomass,24083.0,2000, TJ,1091.0,NOR
electricity,14277.0,2000, TJ,8607.0,OMN
natural_gas,,2000, TJ,,OMN
oil_products,945.0,2000, TJ,,OMN
coal,18.0,2000, TJ,,PAK
electricity,81954.0,2000, TJ,23518.0,PAK
natural_gas,131166.0,2000, TJ,19193.0,PAK
oil_products,30400.0,2000, TJ,11432.0,PAK
solid_biomass,882734.0,2000, TJ,,PAK
electricity,4024.0,2000, TJ,7801.0,PAN
oil_products,3712.0,2000, TJ,1746.0,PAN
solid_biomass,7215.0,2000, TJ,30.0,PAN
electricity,10346.0,2000, TJ,2501.0,PRY
oil_products,3473.0,2000, TJ,,PRY
solid_biomass,42878.0,2000, TJ,151.0,PRY
coal,,2000, TJ,,PER
electricity,2216.0,2000, TJ,5468.0,PER
electricity,2216.0,2000, TJ,,PER
electricity,18122.0,2000, TJ,5468.0,PER
electricity,18122.0,2000, TJ,,PER
natural_gas,31.0,2000, TJ,,PER
oil_products,42982.0,2000, TJ,4461.0,PER
solid_biomass,107571.0,2000, TJ,2118.0,PER
electricity,46418.0,2000, TJ,34243.0,PHL
oil_products,59331.0,2000, TJ,23117.0,PHL
solid_biomass,224773.0,2000, TJ,12126.0,PHL
Heat,205000.0,2000, TJ,21592.0,POL
coal,179010.0,2000, TJ,21956.0,POL
electricity,100.0,2000, TJ,23.0,POL
electricity,100.0,2000, TJ,99921.0,POL
electricity,75722.0,2000, TJ,23.0,POL
electricity,75722.0,2000, TJ,99921.0,POL
natural_gas,127611.0,2000, TJ,38566.0,POL
